zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.4292,0.5499,0.1089,83,0.0306,0.4753,68.01
Vasant Kunj,2,0.22,0.3,0.48,0.65,0.68,0.65,0.7802,0.479,0.1005,15,0.1639,0.5859,72.44
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.5805,0.5247,0.1231,21,0.2109,0.5609,71.44
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.5586,0.2802,0.052,88,0.1626,0.4822,68.29
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.2112,0.5815,0.2659,32,0.1418,0.4554,67.22
Dwarka,10,0.38,0.6,0.65,0.7,0.78,0.65,0.5953,0.8241,0.1823,51,0.0299,0.6311,74.24
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.4928,0.849,0.0556,11,0.1113,0.6004,73.02
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.6426,0.675,0.1323,49,0.1804,0.6194,73.77
Rohini,12,0.35,0.5,0.7,0.72,0.8,0.75,0.679,0.873,0.0109,20,0.1033,0.8263,82.05
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.3162,0.5495,0.1411,42,0.1316,0.5226,69.9
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.2436,0.2858,0.1933,87,0.049,0.2957,60.83
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.5661,0.3523,0.0152,56,0.0557,0.3584,63.34
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.4963,0.2802,0.0848,97,0.0133,0.4225,65.9
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.8127,0.4022,0.1968,101,0.0405,0.5644,71.57
Shahdara,10,0.4,0.65,0.6,0.72,0.85,0.65,0.1939,0.8304,0.0418,43,0.0686,0.4794,68.18
Mayur Vihar,7,0.35,0.55,0.58,0.7,0.8,0.7,0.3496,0.286,0.054,29,0.071,0.3514,63.06
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.2448,0.7597,0.0832,23,0.244,0.6677,75.71
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.285,0.4267,0.019,65,0.1893,0.369,63.76
Connaught Place,11,0.28,0.3,0.55,0.7,0.72,0.8,0.1249,0.697,0.1443,73,0.0306,0.472,67.88
Karol Bagh,6,0.33,0.42,0.55,0.72,0.82,0.8,0.382,0.7281,0.0531,81,0.0041,0.5273,70.09
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.5895,0.4661,0.1066,22,0.1415,0.5038,69.15
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.3028,0.6151,0.0139,69,0.119,0.4602,67.41
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.1658,0.2657,0.095,71,0.4179,0.3571,63.29
Mayur Vihar,11,0.35,0.55,0.58,0.7,0.8,0.8,0.2886,0.3799,0.0371,52,0.1274,0.4744,67.97
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.3781,0.398,0.2224,72,0.0402,0.3258,62.03
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.2753,0.6162,0.0563,52,0.1771,0.4939,68.75
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.4633,0.4477,0.1393,84,0.2585,0.6071,73.29
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1675,0.4241,0.0687,32,0.121,0.2047,57.19
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.4504,0.3356,0.1713,27,0.3094,0.3102,61.41
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.6071,0.4834,0.1118,64,0.0799,0.4944,68.77
Dwarka,9,0.38,0.6,0.65,0.7,0.78,0.6,0.7324,0.4587,0.0256,34,0.1813,0.5834,72.34
Janakpuri,12,0.3,0.4,0.6,0.68,0.76,0.75,0.6849,0.6307,0.0413,53,0.186,0.6764,76.05
Saket,10,0.25,0.35,0.5,0.65,0.7,0.65,0.2058,0.4914,0.0355,27,0.0622,0.4058,65.23
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.2602,0.3236,0.0673,26,0.3436,0.4272,66.09
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.9396,0.3827,0.0765,67,0.0222,0.5558,71.23
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.4939,0.5311,0.1165,30,0.282,0.502,69.08
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.3082,0.2844,0.1401,102,0.0044,0.2569,59.28
Dwarka,6,0.38,0.6,0.65,0.7,0.78,0.8,0.7927,0.7321,0.255,85,0.1818,0.7082,77.33
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.4375,0.3669,0.0993,44,0.4004,0.3411,62.64
Saket,1,0.25,0.35,0.5,0.65,0.7,0.7,0.3895,0.344,0.1134,26,0.1969,0.396,64.84
Karol Bagh,11,0.33,0.42,0.55,0.72,0.82,0.8,0.3942,0.4518,0.0626,36,0.1592,0.5311,70.24
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.5079,0.682,0.1421,47,0.3748,0.6394,74.58
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.1568,0.6663,0.1257,61,0.1736,0.4145,65.58
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.4544,0.2728,0.1008,38,0.2241,0.4383,66.53
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.485,0.5834,0.1599,37,0.1255,0.5323,70.29
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.613,0.4257,0.1016,52,0.2552,0.5606,71.42
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.4206,0.2717,0.0297,12,0.3229,0.3982,64.93
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.337,0.42,0.0588,4,0.112,0.285,60.4
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.3215,0.6731,0.0975,52,0.2567,0.4405,66.62
Saket,11,0.25,0.35,0.5,0.65,0.7,0.8,0.7189,0.5896,0.0875,75,0.2198,0.6344,74.38
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.2087,0.694,0.0757,61,0.3405,0.5234,69.94
Shahdara,10,0.4,0.65,0.6,0.72,0.85,0.65,0.2679,0.8985,0.2511,8,0.4936,0.6854,76.42
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.302,0.2523,0.1534,45,0.2929,0.2332,58.33
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.7173,0.3891,0.2287,57,0.0121,0.5088,69.35
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.0405,0.4393,0.1741,80,0.0274,0.2256,58.02
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.5145,0.7509,0.0632,71,0.188,0.6015,73.06
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.4943,0.5373,0.0383,71,0.0762,0.5288,70.15
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.4511,0.5849,0.0773,1,0.14,0.5738,71.95
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.338,0.3975,0.1618,48,0.175,0.4944,68.78
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.4738,0.5925,0.0774,97,0.4837,0.5778,72.11
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.4339,0.2821,0.0479,99,0.3149,0.5469,70.88
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.3798,0.5143,0.1326,81,0.1463,0.4742,67.97
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.2191,0.7559,0.0287,62,0.4953,0.6111,73.44
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.522,0.4382,0.1745,86,0.1066,0.4688,67.75
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.519,0.3478,0.0588,38,0.4847,0.5501,71.01
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.248,0.4503,0.0546,47,0.0887,0.4518,67.07
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.2798,0.7591,0.2483,40,0.1804,0.5324,70.3
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.3135,0.4258,0.0266,11,0.2758,0.54,70.6
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.2531,0.351,0.1114,3,0.152,0.2652,59.61
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.3118,0.2514,0.0995,35,0.3962,0.3384,62.53
Vasant Kunj,4,0.22,0.3,0.48,0.65,0.68,0.25,0.468,0.6149,0.0578,70,0.1097,0.4069,65.28
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.8261,0.3032,0.1846,75,0.1602,0.5171,69.69
Connaught Place,12,0.28,0.3,0.55,0.7,0.72,0.75,0.4201,0.6227,0.0287,78,0.2825,0.5975,72.9
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1508,0.4033,0.1129,59,0.1875,0.2254,58.01
Janakpuri,2,0.3,0.4,0.6,0.68,0.76,0.65,0.6821,0.317,0.1329,24,0.046,0.4829,68.32
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.6424,0.3997,0.198,89,0.1148,0.5322,70.29
Gurugram Sector 29,12,0.28,0.5,0.55,0.68,0.72,0.75,0.7158,0.5648,0.0685,80,0.0223,0.6542,75.17
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.8337,0.596,0.0898,21,0.0853,0.6437,74.75
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.2004,0.1447,0.0978,71,0.5081,0.2499,59.0
Noida Sector 18,5,0.3,0.45,0.58,0.7,0.74,0.75,0.4386,0.4724,0.0538,25,0.0596,0.479,68.16
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.7842,0.6575,0.0266,6,0.0634,0.6009,73.03
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.1467,0.4952,0.149,6,0.1617,0.2871,60.49
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.2766,0.3743,0.0006,28,0.138,0.2562,59.25
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.7024,0.7287,0.1198,24,0.0406,0.5767,72.07
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.5164,0.4022,0.0561,104,0.3315,0.5068,69.27
Lajpat Nagar,6,0.32,0.45,0.5,0.68,0.75,0.8,0.5847,0.4826,0.0592,100,0.213,0.5421,70.68
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.3515,0.718,0.0678,1,0.112,0.5317,70.27
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.5088,0.7904,0.014,103,0.249,0.589,72.56
Rohini,7,0.35,0.5,0.7,0.72,0.8,0.7,0.5353,0.401,0.0341,96,0.2132,0.5759,72.04
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.1419,0.525,0.2146,100,0.2682,0.3283,62.13
Connaught Place,5,0.28,0.3,0.55,0.7,0.72,0.75,0.5635,0.5622,0.0108,85,0.0693,0.565,71.6
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.269,0.2675,0.286,13,0.1176,0.2168,57.67
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.2942,0.4718,0.1862,76,0.2437,0.4138,65.55
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.4255,0.6547,0.0572,79,0.2927,0.4957,68.83
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.1175,0.6602,0.1665,58,0.1801,0.4692,67.77
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.3042,0.4398,0.1377,11,0.2677,0.3981,64.92
Rohini,12,0.35,0.5,0.7,0.72,0.8,0.75,0.6913,0.9669,0.0586,27,0.2987,0.9067,85.27
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.5547,0.5581,0.0794,54,0.3521,0.6265,74.06
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.2559,0.7831,0.0864,18,0.2176,0.731,78.24
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.2892,0.6306,0.0346,102,0.25,0.5142,69.57
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.5818,0.3073,0.1095,6,0.2935,0.4933,68.73
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.4666,0.4466,0.0658,56,0.1283,0.4654,67.61
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.4718,0.7884,0.1087,59,0.045,0.5826,72.3
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.9071,0.4773,0.0983,49,0.4341,0.6863,76.45
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.4475,0.5339,0.1663,92,0.4273,0.5653,71.61
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.427,0.3503,0.218,13,0.1035,0.4281,66.13
Karol Bagh,6,0.33,0.42,0.55,0.72,0.82,0.8,0.4995,0.4032,0.1311,16,0.0725,0.5005,69.02
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.5382,0.7985,0.0212,7,0.3703,0.6572,75.29
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.5291,0.561,0.1905,25,0.4261,0.6198,73.79
Janakpuri,8,0.3,0.4,0.6,0.68,0.76,0.75,0.541,0.3971,0.1101,4,0.12,0.4576,67.3
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.8641,0.4718,0.047,16,0.1543,0.5907,72.63
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.3068,0.6055,0.1324,65,0.0896,0.5054,69.22
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.7635,0.766,0.0992,65,0.0448,0.6641,75.56
Vasant Kunj,2,0.22,0.3,0.48,0.65,0.68,0.65,0.5501,0.3469,0.0368,78,0.2099,0.4513,67.05
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.2988,0.5723,0.1065,80,0.0708,0.5565,71.26
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.2909,0.6033,0.1235,80,0.1676,0.5216,69.86
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.629,0.3005,0.0424,88,0.2093,0.4976,68.91
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.3999,0.0583,0.1746,79,0.0144,0.3242,61.97
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.7336,0.5195,0.1477,25,0.1603,0.5643,71.57
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.1436,0.5596,0.0476,104,0.1146,0.2737,59.95
Janakpuri,12,0.3,0.4,0.6,0.68,0.76,0.75,0.2436,0.6038,0.1609,73,0.363,0.6144,73.57
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.2999,0.372,0.0398,13,0.2691,0.4363,66.45
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.414,0.6708,0.084,47,0.4147,0.4787,68.15
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.2619,0.519,0.1005,95,0.0567,0.3865,64.46
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.6001,0.1283,0.0325,103,0.1527,0.3481,62.93
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.6186,0.4622,0.1203,101,0.2804,0.5359,70.44
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.8395,0.6241,0.1986,74,0.1131,0.7341,78.36
Gurugram Sector 29,3,0.28,0.5,0.55,0.68,0.72,0.2,0.3799,0.5374,0.0523,61,0.1736,0.3672,63.69
Mayur Vihar,12,0.35,0.55,0.58,0.7,0.8,0.75,0.4788,0.6093,0.0689,11,0.2019,0.6571,75.28
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.5753,0.4151,0.1118,61,0.0582,0.4794,68.18
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.6955,0.3079,0.0941,32,0.2666,0.5717,71.87
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.7799,0.9243,0.0879,29,0.3398,0.8956,84.82
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.2123,0.6881,0.1063,71,0.1874,0.5327,70.31
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.245,0.5654,0.1659,25,0.3623,0.5205,69.82
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.37,0.4604,0.0544,73,0.1448,0.4403,66.61
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.4833,0.123,0.0803,45,0.0632,0.4174,65.7
Rohini,3,0.35,0.5,0.7,0.72,0.8,0.2,0.4365,0.5549,0.1654,41,0.1175,0.3753,64.01
Shahdara,9,0.4,0.65,0.6,0.72,0.85,0.6,0.5099,0.625,0.0112,30,0.1068,0.5936,72.74
Saket,4,0.25,0.35,0.5,0.65,0.7,0.25,0.2896,0.4674,0.0351,31,0.1791,0.3306,62.23
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.5904,0.5375,0.0272,83,0.0706,0.5867,72.47
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.652,0.4485,0.0612,27,0.0127,0.5323,70.29
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.4245,0.883,0.1962,67,0.074,0.6685,75.74
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.6948,0.4934,0.1298,34,0.1183,0.5298,70.19
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.3523,0.6584,0.1377,71,0.2024,0.5514,71.06
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.5916,0.4797,0.1291,10,0.3375,0.551,71.04
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.2049,0.6129,0.0142,96,0.5652,0.5619,71.48
Saket,8,0.25,0.35,0.5,0.65,0.7,0.75,0.3054,0.2228,0.1654,38,0.1673,0.3185,61.74
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.8368,0.4634,0.1559,19,0.1108,0.5653,71.61
Connaught Place,8,0.28,0.3,0.55,0.7,0.72,0.75,0.5963,0.56,0.0501,17,0.1142,0.5062,69.25
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.8513,0.1793,0.1659,78,0.2374,0.5443,70.77
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.4652,0.7968,0.0199,23,0.3515,0.6233,73.93
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.5568,0.4443,0.1452,29,0.4073,0.5131,69.52
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.7148,0.4062,0.0759,25,0.5289,0.632,74.28
Karol Bagh,1,0.33,0.42,0.55,0.72,0.82,0.7,0.4845,0.4289,0.1998,32,0.1326,0.4642,67.57
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.1971,0.116,0.1079,18,0.1518,0.1735,55.94
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.3493,0.4336,0.2809,61,0.4844,0.5014,69.06
Gurugram Sector 29,1,0.28,0.5,0.55,0.68,0.72,0.7,0.6158,0.2681,0.0712,53,0.0324,0.4286,66.14
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.0697,0.5793,0.2,10,0.4175,0.3568,63.27
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.3112,0.3507,0.0237,69,0.1891,0.2856,60.42
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.7917,0.4637,0.0949,96,0.3577,0.6219,73.88
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.1466,0.5832,0.0996,91,0.5714,0.4027,65.11
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.4839,0.4242,0.0774,35,0.2032,0.4793,68.17
Noida Sector 18,3,0.3,0.45,0.58,0.7,0.74,0.2,0.297,0.3405,0.074,55,0.074,0.2835,60.34
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.1365,0.5045,0.1625,46,0.2646,0.3443,62.77
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.5282,0.3684,0.157,6,0.1057,0.4408,66.63
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.6388,0.566,0.2067,58,0.1005,0.5466,70.86
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.439,0.5475,0.0655,35,0.1214,0.5029,69.12
Gurugram Sector 29,6,0.28,0.5,0.55,0.68,0.72,0.8,0.6827,0.6758,0.0433,90,0.1034,0.6023,73.09
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.75,0.6843,0.009,56,0.2215,0.6195,73.78
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.1881,0.525,0.1769,38,0.1249,0.424,65.96
Rohini,8,0.35,0.5,0.7,0.72,0.8,0.75,0.6426,0.3134,0.1679,75,0.1416,0.4942,68.77
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.4842,0.7587,0.047,19,0.0802,0.6118,73.47
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.5744,0.5759,0.0506,24,0.0935,0.6516,75.06
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.1362,0.578,0.1817,63,0.167,0.3189,61.75
Vasant Kunj,10,0.22,0.3,0.48,0.65,0.68,0.65,0.5051,0.5639,0.0641,79,0.0404,0.475,68.0
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.4659,0.7041,0.1221,85,0.1511,0.7285,78.14
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.4644,0.1246,0.1013,77,0.2301,0.3017,61.07
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.3894,0.7117,0.1141,72,0.0292,0.4433,66.73
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.5937,0.1348,0.075,78,0.093,0.4398,66.59
Shahdara,11,0.4,0.65,0.6,0.72,0.85,0.8,0.746,0.8697,0.0452,83,0.1259,0.7145,77.58
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.6139,0.4615,0.052,70,0.026,0.4123,65.49
Shahdara,3,0.4,0.65,0.6,0.72,0.85,0.2,0.3683,0.4606,0.1471,54,0.1588,0.3725,63.9
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.5019,0.3613,0.0554,25,0.128,0.4454,66.81
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.4247,0.4346,0.0733,79,0.3696,0.4479,66.92
Lajpat Nagar,6,0.32,0.45,0.5,0.68,0.75,0.8,0.1827,0.6345,0.1076,61,0.1991,0.5346,70.38
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.2606,0.4531,0.1684,20,0.5746,0.3952,64.81
Karol Bagh,5,0.33,0.42,0.55,0.72,0.82,0.75,0.6647,0.6839,0.2379,29,0.2807,0.6109,73.44
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.8181,0.6915,0.0913,102,0.2006,0.7592,79.37
Karol Bagh,6,0.33,0.42,0.55,0.72,0.82,0.8,0.8016,0.4874,0.0299,96,0.2955,0.6317,74.27
Saket,1,0.25,0.35,0.5,0.65,0.7,0.7,0.2024,0.4678,0.1852,8,0.2245,0.3247,61.99
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.1152,0.3138,0.0378,6,0.044,0.2372,58.49
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.4745,0.3592,0.1688,90,0.1362,0.4787,68.15
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.7053,0.5088,0.0825,71,0.2475,0.5965,72.86
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.1157,0.4389,0.1633,54,0.2331,0.3974,64.89
Dwarka,11,0.38,0.6,0.65,0.7,0.78,0.8,0.4992,0.4829,0.3014,91,0.1656,0.5067,69.27
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.4946,0.5741,0.0587,50,0.0863,0.5125,69.5
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.5031,0.8106,0.0606,35,0.0702,0.5974,72.9
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.6313,0.3915,0.0767,19,0.01,0.4415,66.66
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.2758,0.6708,0.2396,27,0.0995,0.475,68.0
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.3505,0.5487,0.1166,30,0.1182,0.4883,68.53
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.5835,0.5569,0.0419,12,0.237,0.5749,72.0
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.4496,0.2051,0.0737,45,0.1542,0.3917,64.67
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.6598,0.3063,0.0696,54,0.176,0.5487,70.95
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.4165,0.4242,0.0239,76,0.0305,0.3594,63.38
Karol Bagh,9,0.33,0.42,0.55,0.72,0.82,0.6,0.7205,0.2344,0.2424,20,0.0438,0.425,66.0
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.5355,0.5169,0.1837,104,0.0234,0.5152,69.61
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.6233,0.4049,0.0098,62,0.1224,0.4739,67.96
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.3058,0.5739,0.0801,20,0.1107,0.4162,65.65
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.2034,0.5468,0.0597,60,0.3049,0.3223,61.89
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.5296,0.5959,0.0395,53,0.1304,0.5055,69.22
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.2994,0.3238,0.0601,14,0.124,0.278,60.12
Karol Bagh,10,0.33,0.42,0.55,0.72,0.82,0.65,0.2745,0.8427,0.0082,53,0.2378,0.5753,72.01
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.6944,0.9398,0.0605,72,0.2881,0.8461,82.85
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.5114,0.6325,0.033,4,0.132,0.4903,68.61
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.6193,0.4967,0.0832,96,0.133,0.5504,71.02
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.6241,0.48,0.057,100,0.237,0.5752,72.01
Noida Sector 18,6,0.3,0.45,0.58,0.7,0.74,0.8,0.6623,0.543,0.1231,97,0.2799,0.656,75.24
