trigger_type,severity,weekly_income,income_norm,claim_amount
extreme_heat,0.2059,5308.79,0.2821,173.71
heavy_rain,0.7513,6227.41,0.3502,479.04
extreme_heat,0.377,11807.63,0.7635,500.0
heavy_rain,0.8785,2257.79,0.0561,174.43
traffic,0.1667,2880.27,0.1022,59.46
heavy_rain,0.1911,3123.67,0.1203,118.3
aqi,0.4284,6086.1,0.3397,189.58
aqi,0.2126,3547.65,0.1517,70.88
heavy_rain,0.5529,4703.79,0.2373,300.9
heavy_rain,0.3614,4276.63,0.2057,224.18
heavy_rain,0.1874,4027.37,0.1872,156.92
traffic,0.0395,4245.85,0.2034,85.45
heavy_rain,0.3337,6734.17,0.3877,367.78
aqi,0.0143,2476.76,0.0724,50.0
traffic,0.3357,3736.0,0.1656,124.52
traffic,0.6309,2191.54,0.0512,81.55
extreme_heat,0.6582,4506.51,0.2227,241.02
aqi,0.7267,3649.1,0.1592,128.96
heavy_rain,0.4963,6867.95,0.3976,435.85
extreme_heat,0.7664,4014.18,0.1862,225.49
heavy_rain,0.1787,3223.04,0.1276,123.55
aqi,0.5115,3556.9,0.1524,102.82
extreme_heat,0.6797,9525.35,0.5945,500.0
traffic,0.3821,1835.29,0.0248,50.0
heavy_rain,0.6528,2940.23,0.1067,186.42
aqi,0.6278,4096.97,0.1924,138.68
extreme_heat,0.4057,2927.16,0.1057,116.61
extreme_heat,0.0891,5142.74,0.2698,139.31
aqi,0.7316,3911.82,0.1787,141.33
extreme_heat,0.7717,4573.31,0.2277,261.13
extreme_heat,0.453,4268.06,0.205,184.16
extreme_heat,0.7453,3821.8,0.172,199.61
heavy_rain,0.2995,2110.31,0.0452,89.47
heavy_rain,0.7394,4394.22,0.2144,321.22
heavy_rain,0.48,1666.19,0.0123,88.6
heavy_rain,0.6162,2875.61,0.1019,169.36
aqi,0.2667,5138.94,0.2696,112.95
extreme_heat,0.3612,7294.27,0.4292,305.11
extreme_heat,0.144,13026.07,0.8538,483.88
extreme_heat,0.4949,3248.25,0.1295,135.55
extreme_heat,0.9423,2610.87,0.0823,153.49
traffic,0.1401,5224.64,0.2759,129.49
aqi,0.0903,10249.5,0.6481,211.99
aqi,0.8709,8659.15,0.5303,404.89
extreme_heat,0.7098,2398.17,0.0665,118.81
heavy_rain,0.4317,3750.88,0.1667,196.34
extreme_heat,0.1468,6156.01,0.3449,193.82
extreme_heat,0.3287,6373.19,0.361,255.57
extreme_heat,0.3827,5409.6,0.2896,213.89
traffic,0.5455,3215.14,0.127,121.14
extreme_heat,0.6979,5385.59,0.2878,293.56
heavy_rain,0.3221,6403.98,0.3633,334.87
heavy_rain,0.8044,2524.98,0.0759,177.94
extreme_heat,0.4979,7825.3,0.4685,389.89
heavy_rain,0.3296,6607.63,0.3783,353.62
heavy_rain,0.297,2776.7,0.0946,118.87
traffic,0.1465,6389.78,0.3622,162.98
extreme_heat,0.727,6042.4,0.3365,352.54
heavy_rain,0.2024,6158.42,0.3451,265.5
extreme_heat,0.441,8848.35,0.5443,420.33
traffic,0.7206,4002.88,0.1854,181.27
heavy_rain,0.114,4749.34,0.2407,173.43
traffic,0.4082,1500.0,0.0,50.0
aqi,0.4582,7029.78,0.4096,214.8
extreme_heat,0.3985,6699.53,0.3852,295.88
traffic,0.7643,7926.9,0.4761,423.9
heavy_rain,0.3346,2519.11,0.0755,113.17
aqi,0.4422,6509.53,0.3711,189.33
extreme_heat,0.8434,6696.73,0.3849,426.82
aqi,0.736,2906.03,0.1042,109.78
extreme_heat,0.4189,6822.51,0.3943,304.42
heavy_rain,0.6704,5072.15,0.2646,365.81
heavy_rain,0.1691,1721.57,0.0164,66.93
traffic,0.4866,5389.68,0.2881,196.19
extreme_heat,0.5731,2741.87,0.092,118.37
heavy_rain,0.9744,1740.69,0.0178,134.62
traffic,0.1473,4833.26,0.2469,114.55
aqi,0.8199,3894.55,0.1774,145.85
extreme_heat,0.6608,8118.55,0.4903,466.54
extreme_heat,0.1139,4406.6,0.2153,123.05
heavy_rain,0.5113,5938.78,0.3288,373.66
traffic,0.8175,5189.56,0.2733,265.16
heavy_rain,0.534,6704.13,0.3855,442.23
aqi,0.803,2583.23,0.0802,89.98
extreme_heat,0.5705,4443.81,0.2181,211.98
extreme_heat,0.4698,3750.45,0.1667,150.06
heavy_rain,0.0611,5579.43,0.3022,180.63
heavy_rain,0.6835,4572.92,0.2276,324.71
traffic,0.602,2960.11,0.1082,119.71
extreme_heat,0.8692,3398.31,0.1406,199.57
extreme_heat,0.857,9175.13,0.5685,500.0
aqi,0.3682,1724.73,0.0166,50.0
aqi,0.692,5736.95,0.3138,216.81
aqi,0.4647,7485.5,0.4434,237.72
heavy_rain,0.3907,5374.49,0.287,293.41
extreme_heat,0.5541,10780.61,0.6875,500.0
aqi,0.502,6433.4,0.3654,200.96
extreme_heat,0.3417,4875.91,0.2501,179.11
heavy_rain,0.6351,3186.36,0.1249,206.22
traffic,0.5956,4921.33,0.2534,199.8
extreme_heat,0.854,5658.09,0.308,351.52
extreme_heat,0.5372,4030.92,0.1875,191.49
aqi,0.2257,2775.5,0.0945,56.01
traffic,0.6666,2203.69,0.0521,75.67
extreme_heat,0.5895,4414.74,0.2159,210.49
extreme_heat,0.3518,1919.54,0.0311,61.41
extreme_heat,0.4674,3178.7,0.1243,129.95
heavy_rain,0.2255,1500.0,0.0,50.92
traffic,0.4229,6102.84,0.341,221.91
traffic,0.3679,7165.43,0.4197,249.32
heavy_rain,0.3918,4185.89,0.199,216.53
heavy_rain,0.6742,10054.04,0.6336,500.0
aqi,0.86,7892.7,0.4735,353.64
heavy_rain,0.2266,5114.8,0.2678,224.08
extreme_heat,0.8106,3802.42,0.1705,215.21
extreme_heat,0.2372,3378.88,0.1392,106.46
traffic,0.6766,5330.74,0.2838,240.46
heavy_rain,0.0658,3749.53,0.1666,123.66
traffic,0.3945,5292.87,0.281,185.62
extreme_heat,0.0583,5492.98,0.2958,138.09
traffic,0.7826,3587.5,0.1546,166.43
heavy_rain,0.375,6959.71,0.4044,402.71
extreme_heat,0.5032,3589.34,0.1548,154.98
extreme_heat,0.5704,4067.03,0.1902,190.68
heavy_rain,0.207,2468.18,0.0717,90.09
heavy_rain,0.2303,3514.64,0.1492,143.53
heavy_rain,0.7602,11838.35,0.7658,500.0
heavy_rain,0.6507,2565.24,0.0789,166.3
heavy_rain,0.7346,5008.32,0.2599,375.86
aqi,0.8089,3205.92,0.1264,120.6
extreme_heat,0.4119,1500.0,0.0,58.74
traffic,0.4328,5321.37,0.2831,183.87
aqi,0.9313,3047.08,0.1146,125.41
heavy_rain,0.5383,4719.79,0.2385,292.61
traffic,0.7561,6600.23,0.3778,329.17
aqi,0.3379,4524.67,0.224,110.62
traffic,0.446,4741.69,0.2401,162.7
extreme_heat,0.3025,2607.19,0.082,81.05
extreme_heat,0.5927,5729.67,0.3133,291.26
heavy_rain,0.3039,3659.78,0.16,171.96
extreme_heat,0.6398,1500.0,0.0,67.74
aqi,0.3629,6085.24,0.3396,163.73
aqi,0.5174,7090.36,0.4141,228.6
heavy_rain,0.5743,8438.51,0.514,500.0
traffic,0.2788,11913.31,0.7714,428.86
heavy_rain,0.647,5924.0,0.3277,419.93
aqi,0.1841,5202.98,0.2743,112.27
heavy_rain,0.1725,6944.98,0.4033,302.54
aqi,0.7126,2582.47,0.0802,79.17
traffic,0.5833,1744.14,0.0181,63.79
heavy_rain,0.7869,3170.03,0.1237,226.24
heavy_rain,0.8724,7620.69,0.4534,500.0
traffic,0.7587,2891.27,0.1031,111.8
heavy_rain,0.4605,5078.67,0.2651,295.62
extreme_heat,0.6884,5359.62,0.2859,294.76
aqi,0.335,4546.59,0.2257,112.1
extreme_heat,0.7315,2124.27,0.0462,101.24
extreme_heat,0.8271,4775.97,0.2427,294.06
extreme_heat,0.3744,3259.16,0.1303,127.2
heavy_rain,0.521,9427.92,0.5873,500.0
aqi,0.8385,7104.18,0.4151,304.89
heavy_rain,0.6014,3317.12,0.1346,198.06
heavy_rain,0.6154,9729.02,0.6096,500.0
heavy_rain,0.6219,4778.37,0.2428,313.78
aqi,0.534,1744.43,0.0181,51.87
heavy_rain,0.7195,3869.37,0.1755,278.89
aqi,0.7366,9114.66,0.564,384.97
traffic,0.0911,2670.66,0.0867,50.0
traffic,0.3674,3888.89,0.177,128.64
aqi,0.207,2038.72,0.0399,50.0
traffic,0.3841,2207.1,0.0524,67.21
aqi,0.0635,2651.5,0.0853,50.0
heavy_rain,0.3102,2178.3,0.0502,97.46
traffic,0.3965,2953.84,0.1077,92.01
extreme_heat,0.5608,9596.38,0.5997,500.0
extreme_heat,0.589,3951.95,0.1816,194.47
aqi,0.2509,5959.61,0.3303,147.84
aqi,0.8223,6945.05,0.4033,299.37
traffic,0.8169,2311.8,0.0601,108.88
extreme_heat,0.8974,2655.12,0.0856,163.59
extreme_heat,0.8546,5901.19,0.326,366.64
extreme_heat,0.4499,2930.3,0.1059,111.94
extreme_heat,0.4506,5708.97,0.3118,248.85
extreme_heat,0.1826,9308.29,0.5784,329.15
heavy_rain,0.7167,1943.62,0.0329,126.73
heavy_rain,0.4943,3366.18,0.1382,185.74
traffic,0.9423,3644.1,0.1588,189.13
extreme_heat,0.2914,3092.75,0.118,103.21
aqi,0.5054,2969.1,0.1088,88.14
traffic,0.382,3146.17,0.1219,98.36
heavy_rain,0.5478,3993.31,0.1847,234.24
heavy_rain,0.852,4369.67,0.2126,350.5
heavy_rain,0.2689,6481.49,0.369,322.74
aqi,0.3568,3973.65,0.1832,99.25
heavy_rain,0.5017,7038.06,0.4102,458.07
extreme_heat,0.6119,2993.2,0.1106,137.96
aqi,0.4274,2206.84,0.0524,58.84
aqi,0.5815,3455.16,0.1448,103.14
heavy_rain,0.3996,5070.76,0.2645,274.24
heavy_rain,0.7447,6187.17,0.3472,480.84
heavy_rain,0.1568,8350.83,0.5075,369.12
heavy_rain,0.0572,4652.22,0.2335,150.27
heavy_rain,0.3633,5863.56,0.3232,306.27
extreme_heat,0.5105,7977.57,0.4798,402.17
aqi,0.2011,2725.42,0.0908,55.43
extreme_heat,0.7333,3622.54,0.1572,193.32
traffic,0.7634,15000.0,1.0,500.0
heavy_rain,0.1763,6174.57,0.3463,260.25
traffic,0.6346,5194.47,0.2737,224.73
traffic,0.2759,6290.81,0.3549,189.82
aqi,0.6098,2063.51,0.0417,61.05
aqi,0.1488,2911.97,0.1046,54.72
heavy_rain,0.3075,2425.64,0.0686,119.37
heavy_rain,0.2264,4960.71,0.2563,220.52
heavy_rain,0.4925,3345.99,0.1367,191.97
extreme_heat,0.2975,4220.44,0.2015,152.06
aqi,0.5941,3444.35,0.144,95.99
extreme_heat,0.6265,1784.33,0.0211,82.85
traffic,0.8716,6263.46,0.3528,341.44
extreme_heat,0.3708,1667.2,0.0124,58.86
heavy_rain,0.8256,2796.65,0.096,207.0
heavy_rain,0.7498,2084.46,0.0433,137.25
traffic,0.1411,2591.86,0.0809,55.46
traffic,0.4181,4451.2,0.2186,146.94
extreme_heat,0.774,7461.5,0.4416,469.19
heavy_rain,0.6713,1843.65,0.0255,124.15
traffic,0.399,3045.43,0.1145,106.16
heavy_rain,0.1425,1678.2,0.0132,53.64
aqi,0.5014,2972.9,0.1091,80.38
heavy_rain,0.1718,4171.15,0.1979,160.48
heavy_rain,0.7304,5904.91,0.3263,445.62
extreme_heat,0.6216,1500.0,0.0,62.28
extreme_heat,0.4591,5299.01,0.2814,229.33
extreme_heat,0.5395,2474.22,0.0722,110.96
extreme_heat,0.2055,2190.54,0.0512,59.81
aqi,0.6964,4161.97,0.1972,151.14
extreme_heat,0.3633,5505.89,0.2967,225.17
extreme_heat,0.763,3826.76,0.1724,211.42
extreme_heat,0.4767,2329.56,0.0614,99.95
heavy_rain,0.5386,3825.75,0.1723,223.37
extreme_heat,0.8602,2800.1,0.0963,156.89
heavy_rain,0.1093,5442.62,0.292,203.62
traffic,0.1382,6888.98,0.3992,176.92
heavy_rain,0.2109,6672.37,0.3831,308.61
aqi,0.1091,3984.34,0.184,65.67
extreme_heat,0.3489,7053.86,0.4114,286.1
aqi,0.0649,2415.13,0.0678,50.0
extreme_heat,0.1916,9812.7,0.6158,352.45
heavy_rain,0.722,2408.38,0.0673,157.03
traffic,0.2161,1500.0,0.0,50.0
traffic,0.6722,7964.25,0.4788,384.47
traffic,0.9045,2821.24,0.0979,145.78
extreme_heat,0.4661,4265.73,0.2049,176.64
traffic,0.1251,2403.29,0.0669,55.83
aqi,0.6135,13118.8,0.8607,500.0
traffic,0.2083,10005.69,0.6301,308.1
heavy_rain,0.3862,8719.15,0.5348,500.0
traffic,0.8753,4205.63,0.2004,215.0
traffic,0.2015,6570.53,0.3756,184.55
aqi,0.4636,3918.54,0.1792,110.12
extreme_heat,0.3943,7052.24,0.4113,300.77
extreme_heat,0.4739,3277.04,0.1316,139.37
traffic,0.2772,8887.07,0.5472,291.34
extreme_heat,0.7304,3195.71,0.1256,167.3
traffic,0.5499,3382.45,0.1394,127.51
extreme_heat,0.6119,3186.68,0.1249,154.87
heavy_rain,0.1068,4430.32,0.2171,168.57
traffic,0.022,3313.97,0.1344,57.85
heavy_rain,0.6619,5133.94,0.2692,361.23
heavy_rain,0.532,3163.73,0.1232,177.44
traffic,0.1167,5975.33,0.3315,150.6
traffic,0.7056,8597.13,0.5257,436.52
aqi,0.6866,4182.96,0.1987,144.01
heavy_rain,0.2923,12199.67,0.7926,500.0
heavy_rain,0.7341,7071.05,0.4127,500.0
aqi,0.778,11720.78,0.7571,500.0
heavy_rain,0.3522,3902.61,0.178,199.11
heavy_rain,0.7615,1753.33,0.0188,122.29
heavy_rain,0.5021,2826.89,0.0983,162.44
extreme_heat,0.6841,2974.8,0.1092,145.19
aqi,0.8302,2498.6,0.074,88.24
traffic,0.1952,1500.0,0.0,50.0
traffic,0.3718,6716.51,0.3864,236.9
heavy_rain,0.2385,1587.62,0.0065,65.24
extreme_heat,0.5134,6402.47,0.3631,302.76
extreme_heat,0.4302,12001.36,0.7779,500.0
heavy_rain,0.6624,2726.66,0.0909,171.86
heavy_rain,0.4092,4884.32,0.2507,263.23
heavy_rain,0.5557,3296.72,0.1331,198.77
heavy_rain,0.4316,6084.73,0.3396,347.81
extreme_heat,0.7605,2214.53,0.0529,109.8
traffic,0.7408,3767.26,0.1679,176.65
heavy_rain,0.7042,7048.64,0.411,500.0
extreme_heat,0.553,3926.74,0.1798,191.71
traffic,0.1101,1782.35,0.0209,50.0
traffic,0.4384,7486.28,0.4434,289.3
traffic,0.7791,2104.88,0.0448,90.98
extreme_heat,0.3517,4185.44,0.1989,155.03
traffic,0.7515,5384.73,0.2878,261.31
heavy_rain,0.3627,4272.38,0.2054,223.58
extreme_heat,0.2807,14310.07,0.9489,500.0
heavy_rain,0.6739,5807.51,0.3191,417.41
extreme_heat,0.8258,3636.67,0.1583,210.08
extreme_heat,0.4661,5438.9,0.2918,236.99
heavy_rain,0.2871,4469.23,0.2199,206.61
traffic,0.6138,4114.14,0.1936,175.71
heavy_rain,0.4334,4545.5,0.2256,245.82
heavy_rain,0.7858,3238.79,0.1288,247.26
heavy_rain,0.6046,4475.85,0.2204,295.49
extreme_heat,0.851,3125.2,0.1204,176.72
heavy_rain,0.6134,1559.16,0.0044,93.13
extreme_heat,0.6086,7115.99,0.416,377.78
heavy_rain,0.7625,3032.9,0.1135,213.08
traffic,0.8109,4318.63,0.2088,208.78
aqi,0.6687,2751.19,0.0927,88.07
extreme_heat,0.2098,2793.03,0.0958,78.43
traffic,0.623,2393.48,0.0662,91.45
aqi,0.1839,6464.94,0.3678,133.02
aqi,0.7674,7294.39,0.4292,293.07
traffic,0.6143,4076.39,0.1908,159.45
aqi,0.7439,3076.88,0.1168,116.38
aqi,0.0293,1725.83,0.0167,50.0
traffic,0.4195,5989.21,0.3325,217.08
extreme_heat,0.5042,2869.01,0.1014,121.14
heavy_rain,0.8399,2301.62,0.0594,171.9
heavy_rain,0.8064,4083.18,0.1913,317.59
extreme_heat,0.5784,3404.79,0.1411,159.28
extreme_heat,0.9077,1883.66,0.0284,115.78
extreme_heat,0.8743,2017.55,0.0383,112.85
extreme_heat,0.7211,4761.28,0.2416,263.65
extreme_heat,0.7312,2899.1,0.1036,153.69
traffic,0.7456,5193.32,0.2736,240.45
heavy_rain,0.0869,4329.75,0.2096,149.95
heavy_rain,0.8095,6793.84,0.3921,500.0
traffic,0.428,2654.28,0.0855,84.97
traffic,0.944,4520.41,0.2237,240.52
aqi,0.3899,5536.61,0.299,149.34
aqi,0.5033,2942.14,0.1068,80.89
aqi,0.6339,7069.9,0.4126,260.42
heavy_rain,0.6514,1749.11,0.0185,103.97
extreme_heat,0.6127,2653.22,0.0854,132.43
heavy_rain,0.7173,1716.69,0.0161,115.18
traffic,0.2754,2785.17,0.0952,71.4
aqi,0.1943,3724.57,0.1648,77.88
heavy_rain,0.4184,6098.21,0.3406,354.54
extreme_heat,0.6352,3723.26,0.1647,184.84
heavy_rain,0.1954,2987.86,0.1102,111.89
heavy_rain,0.4813,1854.53,0.0263,109.52
heavy_rain,0.3332,2192.75,0.0513,103.13
heavy_rain,0.189,4698.99,0.237,186.89
aqi,0.9871,6252.44,0.352,292.63
extreme_heat,0.6916,3262.96,0.1306,164.58
traffic,0.5724,7372.46,0.435,320.88
traffic,0.5587,2502.49,0.0743,85.62
heavy_rain,0.0478,3310.09,0.1341,103.46
heavy_rain,0.0919,3452.75,0.1446,112.72
traffic,0.7159,8644.74,0.5292,441.32
heavy_rain,0.7404,4301.98,0.2076,316.08
aqi,0.8437,1637.27,0.0102,56.58
heavy_rain,0.6458,6475.8,0.3686,467.21
traffic,0.4753,10127.03,0.639,438.52
traffic,0.6262,3551.52,0.152,139.01
heavy_rain,0.203,2569.48,0.0792,96.91
heavy_rain,0.567,6198.91,0.3481,407.87
aqi,0.8467,10744.32,0.6848,500.0
heavy_rain,0.5764,6150.97,0.3445,414.59
extreme_heat,0.4686,1787.36,0.0213,73.18
extreme_heat,0.432,5868.42,0.3236,250.14
heavy_rain,0.9631,4925.12,0.2537,436.12
traffic,0.4147,2496.6,0.0738,79.45
traffic,0.5092,7664.92,0.4567,309.8
extreme_heat,0.4656,5009.92,0.26,219.53
traffic,0.7263,7765.76,0.4641,397.06
heavy_rain,0.3016,2366.72,0.0642,94.96
heavy_rain,0.3671,4911.77,0.2527,265.88
extreme_heat,0.6467,2572.03,0.0794,119.61
aqi,0.8823,4554.33,0.2262,178.63
heavy_rain,0.9193,8422.09,0.5127,500.0
heavy_rain,0.6418,1971.98,0.035,126.35
extreme_heat,0.0983,2029.41,0.0392,50.0
traffic,0.3549,6488.18,0.3695,220.62
heavy_rain,0.7258,3995.56,0.1849,295.94
extreme_heat,0.8185,7227.38,0.4243,463.04
traffic,0.4248,2687.48,0.088,101.4
extreme_heat,0.4537,4128.19,0.1947,179.13
heavy_rain,0.7726,5676.35,0.3094,445.1
heavy_rain,0.1573,4469.81,0.22,175.38
extreme_heat,0.0305,1645.21,0.0108,50.0
extreme_heat,0.1814,15000.0,1.0,500.0
aqi,0.2795,4474.56,0.2203,106.06
traffic,0.2401,2058.62,0.0414,50.0
traffic,0.1101,4708.38,0.2377,100.23
aqi,0.4612,4986.91,0.2583,150.94
extreme_heat,0.4582,6614.12,0.3788,306.4
extreme_heat,0.5189,6396.92,0.3627,300.91
aqi,0.3681,3615.83,0.1567,91.12
heavy_rain,0.4867,1700.98,0.0149,95.31
traffic,0.1547,5067.9,0.2643,129.83
traffic,0.6147,1770.1,0.02,62.96
heavy_rain,0.6504,7388.07,0.4362,500.0
extreme_heat,0.726,2789.51,0.0955,143.41
heavy_rain,0.4119,5527.44,0.2983,310.87
heavy_rain,0.8413,2898.4,0.1036,213.49
extreme_heat,0.6606,3146.3,0.1219,133.69
heavy_rain,0.6683,2695.97,0.0886,171.55
traffic,0.5782,5756.25,0.3153,242.17
aqi,0.454,2949.31,0.1074,78.03
traffic,0.7766,5909.2,0.3266,295.78
heavy_rain,0.3528,2988.14,0.1102,148.94
heavy_rain,0.2973,3584.2,0.1544,162.53
heavy_rain,0.1322,4096.07,0.1923,149.23
heavy_rain,0.6169,4345.56,0.2108,275.2
aqi,0.7367,2534.87,0.0767,79.07
extreme_heat,0.7706,5721.03,0.3127,329.53
heavy_rain,0.2092,3513.37,0.1491,145.59
traffic,0.545,5281.42,0.2801,208.13
extreme_heat,0.8439,3991.35,0.1845,231.68
heavy_rain,0.5814,5394.99,0.2885,352.81
heavy_rain,0.5516,3275.84,0.1315,191.91
traffic,0.7967,2711.35,0.0897,127.07
traffic,0.4175,4981.22,0.2579,172.45
heavy_rain,0.3104,3143.63,0.1218,149.1
aqi,0.7586,8344.79,0.507,340.11
aqi,0.8136,4162.32,0.1972,162.84
traffic,0.5653,2024.72,0.0389,70.88
heavy_rain,0.2402,3002.7,0.1113,123.74
heavy_rain,0.6361,2441.45,0.0697,159.86
aqi,0.4085,6880.59,0.3986,197.97
heavy_rain,0.6708,5924.02,0.3277,432.98
traffic,0.2776,3902.91,0.178,105.07
traffic,0.4801,4651.93,0.2335,169.89
heavy_rain,0.5308,3851.28,0.1742,222.2
traffic,0.8554,6186.97,0.3472,327.76
aqi,0.8574,5218.24,0.2754,216.82
traffic,0.3956,5710.08,0.3119,202.59
extreme_heat,0.9258,3655.82,0.1597,221.06
aqi,0.2488,2934.29,0.1062,59.06
extreme_heat,0.8153,5611.27,0.3045,336.95
traffic,0.3393,8740.04,0.5363,308.81
traffic,0.3258,6995.38,0.4071,226.94
traffic,0.552,8873.54,0.5462,385.37
heavy_rain,0.3512,4363.44,0.2121,213.88
heavy_rain,0.8356,2477.5,0.0724,182.62
heavy_rain,0.5011,2589.98,0.0807,143.12
extreme_heat,0.6851,8020.73,0.483,474.78
extreme_heat,0.4625,1586.09,0.0064,65.47
extreme_heat,0.6648,8538.82,0.5214,499.3
extreme_heat,0.6309,2714.01,0.0899,120.36
traffic,0.4505,10526.96,0.6687,447.04
aqi,0.329,3884.3,0.1766,93.4
heavy_rain,0.3344,5774.95,0.3167,296.38
traffic,0.2231,13260.21,0.8711,464.91
traffic,0.887,3411.56,0.1416,171.15
extreme_heat,0.4343,3383.05,0.1395,135.86
heavy_rain,0.1868,2842.9,0.0995,110.13
traffic,0.1604,2438.43,0.0695,59.79
aqi,0.6318,3412.12,0.1416,106.82
traffic,0.3078,3049.03,0.1147,82.4
aqi,0.7648,2153.55,0.0484,73.22
aqi,0.3086,3621.92,0.1572,78.35
extreme_heat,0.4082,5038.65,0.2621,206.8
traffic,0.5104,2570.99,0.0793,90.51
extreme_heat,0.351,3709.96,0.1637,136.28
aqi,0.7115,8129.48,0.4911,325.33
heavy_rain,0.7386,1978.78,0.0355,141.3
extreme_heat,0.8084,10570.62,0.6719,500.0
aqi,0.6131,2872.64,0.1017,89.12
heavy_rain,0.6284,4449.08,0.2185,297.46
traffic,0.7694,7628.0,0.4539,402.92
extreme_heat,0.2816,8885.45,0.5471,350.85
aqi,0.9251,5089.38,0.2659,214.3
aqi,0.4816,2843.38,0.0995,79.26
heavy_rain,0.8481,2720.56,0.0904,206.51
traffic,0.2077,3018.62,0.1125,77.66
heavy_rain,0.6387,10348.83,0.6555,500.0
traffic,0.7862,3322.35,0.135,148.4
traffic,0.4388,4730.63,0.2393,158.7
traffic,0.1819,2387.78,0.0658,53.13
heavy_rain,0.1233,2257.08,0.0561,80.04
heavy_rain,0.2591,4077.32,0.1909,176.22
traffic,0.614,3420.79,0.1423,126.39
extreme_heat,0.8832,3548.03,0.1517,211.91
extreme_heat,0.2673,1920.74,0.0312,57.04
heavy_rain,0.0807,3878.7,0.1762,122.07
heavy_rain,0.4425,8731.0,0.5356,500.0
aqi,0.312,2626.69,0.0835,57.32
heavy_rain,0.2027,6302.6,0.3557,286.6
extreme_heat,0.2288,1500.0,0.0,50.0
aqi,0.8325,2694.12,0.0885,102.89
heavy_rain,0.2201,1548.13,0.0036,59.47
traffic,0.8601,7465.9,0.4419,410.3
heavy_rain,0.422,6244.08,0.3514,358.55
aqi,0.6279,2399.06,0.0666,79.97
traffic,0.3262,4650.07,0.2333,146.74
aqi,0.7048,7338.24,0.4325,279.31
heavy_rain,0.2812,7931.49,0.4764,402.93
extreme_heat,0.5286,3284.94,0.1322,138.13
traffic,0.2611,1500.0,0.0,50.0
heavy_rain,0.4195,2567.61,0.0791,122.24
heavy_rain,0.5021,5902.15,0.3261,370.81
heavy_rain,0.8157,11492.47,0.7402,500.0
aqi,0.4798,3916.05,0.179,112.21
traffic,0.6682,2970.81,0.1089,119.63
traffic,0.6271,13355.46,0.8782,500.0
traffic,0.3267,4928.88,0.254,153.63
extreme_heat,0.5823,2177.9,0.0502,89.43
extreme_heat,0.5586,3791.61,0.1697,168.12
extreme_heat,0.7241,6634.0,0.3803,378.37
traffic,0.3779,3884.75,0.1766,129.72
heavy_rain,0.4054,5986.01,0.3323,344.22
aqi,0.7577,1803.52,0.0225,66.6
traffic,0.8258,1964.34,0.0344,87.59
heavy_rain,0.2661,2786.58,0.0953,112.15
extreme_heat,0.5709,3494.35,0.1477,155.47
heavy_rain,0.8968,4755.11,0.2411,391.99
aqi,0.8259,5532.42,0.2987,224.6
aqi,0.6106,13808.74,0.9118,500.0
aqi,0.4656,2781.43,0.0949,81.94
heavy_rain,0.5392,3439.24,0.1436,201.87
heavy_rain,0.0763,2820.51,0.0978,79.75
heavy_rain,0.2974,6902.88,0.4002,346.45
heavy_rain,0.7752,7093.79,0.4144,500.0
heavy_rain,0.3382,3216.9,0.1272,154.11
heavy_rain,0.4392,11303.56,0.7262,500.0
aqi,0.3596,2822.99,0.098,65.75
heavy_rain,0.2147,6734.23,0.3877,302.72
heavy_rain,0.294,8327.02,0.5057,435.78
traffic,0.5475,2036.95,0.0398,82.9
extreme_heat,0.5908,5371.25,0.2868,276.55
traffic,0.3029,1500.0,0.0,50.0
traffic,0.3219,6076.03,0.339,185.91
aqi,0.261,2319.71,0.0607,50.0
traffic,0.2744,5344.03,0.2847,156.85
extreme_heat,0.366,5869.32,0.3237,239.36
traffic,0.6557,7044.97,0.4107,331.41
extreme_heat,0.5355,6279.89,0.3541,300.32
heavy_rain,0.4,4137.92,0.1954,224.42
extreme_heat,0.508,3326.79,0.1353,141.45
heavy_rain,0.7018,3876.96,0.1761,273.41
traffic,0.5482,2303.07,0.0595,81.55
heavy_rain,0.6987,3619.73,0.157,254.18
heavy_rain,0.3082,3479.53,0.1466,149.18
heavy_rain,0.8781,2713.22,0.0899,212.07
traffic,0.5477,1684.8,0.0137,55.08
heavy_rain,0.8333,2125.01,0.0463,154.97
traffic,0.2718,1500.0,0.0,50.0
aqi,0.7836,3449.76,0.1444,122.6
heavy_rain,0.6086,4818.65,0.2458,315.14
traffic,0.701,1500.0,0.0,58.19
heavy_rain,0.3449,4529.46,0.2244,224.84
heavy_rain,0.4319,3784.86,0.1692,198.78
traffic,0.2174,2234.16,0.0544,55.41
aqi,0.3347,3243.46,0.1291,77.65
heavy_rain,0.4043,6804.93,0.393,394.99
extreme_heat,0.513,2472.3,0.072,99.69
heavy_rain,0.5795,4185.68,0.1989,260.25
extreme_heat,0.5073,4785.27,0.2434,215.69
traffic,0.5155,2667.5,0.0865,92.97
traffic,0.2486,6661.74,0.3824,196.87
traffic,0.0924,4924.22,0.2536,106.03
heavy_rain,0.4574,3547.66,0.1517,196.54
traffic,0.0901,13116.42,0.8605,364.31
traffic,0.4422,6676.1,0.3834,249.25
traffic,0.8146,1731.81,0.0172,75.01
heavy_rain,0.6088,3312.38,0.1343,208.87
extreme_heat,0.5216,13812.39,0.912,500.0
extreme_heat,0.5617,2462.44,0.0713,101.73
heavy_rain,0.3021,4159.57,0.197,183.5
