zone,work_type,disruption_freq,flood_risk,heat_risk,weekly_income,income_norm,tenure_weeks,claim_ratio,premium_score,weekly_premium
Karol Bagh,0,0.33,0.42,0.72,5800.01,0.3185,64,0.1231,0.3454,49.72
Connaught Place,0,0.28,0.3,0.7,7019.7,0.4089,46,0.2378,0.369,51.14
Lajpat Nagar,0,0.32,0.45,0.68,6582.38,0.3765,96,0.6136,0.381,51.86
Noida Sector 18,1,0.3,0.45,0.7,8821.87,0.5424,54,0.0705,0.3511,50.06
Vasant Kunj,1,0.22,0.3,0.65,3696.54,0.1627,59,0.0618,0.1618,38.71
Connaught Place,1,0.28,0.3,0.7,2072.42,0.0424,76,0.0967,0.1365,37.19
Noida Sector 18,1,0.3,0.45,0.7,5607.49,0.3043,86,0.1086,0.2321,42.93
Lajpat Nagar,0,0.32,0.45,0.68,5944.83,0.3292,54,0.0235,0.3373,49.24
Noida Sector 18,0,0.3,0.45,0.7,8821.95,0.5424,76,0.2351,0.431,54.86
Noida Sector 18,1,0.3,0.45,0.7,7636.12,0.4545,84,0.0976,0.3019,47.11
Lajpat Nagar,0,0.32,0.45,0.68,10643.84,0.6773,55,0.1663,0.502,59.12
Gurugram Sector 29,0,0.28,0.5,0.68,5485.85,0.2952,75,0.1252,0.4253,54.52
Karol Bagh,0,0.33,0.42,0.72,4511.59,0.2231,38,0.6145,0.3501,50.01
Karol Bagh,1,0.33,0.42,0.72,2013.26,0.038,37,0.2175,0.1743,39.46
Connaught Place,1,0.28,0.3,0.7,4694.04,0.2366,1,0.0,0.187,40.22
Rohini,0,0.35,0.5,0.72,3052.6,0.115,70,0.3248,0.279,45.74
Rohini,1,0.35,0.5,0.72,4472.73,0.2202,27,0.2519,0.2508,44.05
Janakpuri,0,0.3,0.4,0.68,4135.06,0.1952,85,0.6471,0.2948,46.69
Lajpat Nagar,0,0.32,0.45,0.68,5094.25,0.2662,99,0.2362,0.3088,47.53
Karol Bagh,0,0.33,0.42,0.72,3832.74,0.1728,92,0.1098,0.2818,45.91
Mayur Vihar,0,0.35,0.55,0.7,6422.16,0.3646,29,0.1347,0.3789,51.73
Mayur Vihar,1,0.35,0.55,0.7,1500.0,0.0,68,0.3704,0.1572,38.43
Rohini,0,0.35,0.5,0.72,4424.87,0.2167,79,0.0813,0.2848,46.09
Connaught Place,1,0.28,0.3,0.7,7341.11,0.4327,53,0.0089,0.2466,43.79
Karol Bagh,0,0.33,0.42,0.72,10249.91,0.6481,53,0.0887,0.4588,56.53
Dwarka,1,0.38,0.6,0.7,5802.13,0.3187,46,0.392,0.2742,45.45
Noida Sector 18,1,0.3,0.45,0.7,9343.55,0.581,33,0.2554,0.3596,50.58
Karol Bagh,1,0.33,0.42,0.72,4378.53,0.2132,60,0.2951,0.2359,43.16
Connaught Place,1,0.28,0.3,0.7,4029.64,0.1874,104,0.0373,0.2128,41.77
Connaught Place,1,0.28,0.3,0.7,5243.31,0.2773,23,0.0288,0.2075,41.45
Connaught Place,0,0.28,0.3,0.7,4017.45,0.1865,5,0.0725,0.2109,41.65
Lajpat Nagar,1,0.32,0.45,0.68,2721.18,0.0905,6,0.2586,0.177,39.62
Connaught Place,1,0.28,0.3,0.7,3110.01,0.1193,61,0.2961,0.1795,39.77
Mayur Vihar,0,0.35,0.55,0.7,2307.51,0.0598,29,0.0295,0.241,43.46
Noida Sector 18,0,0.3,0.45,0.7,5240.59,0.2771,48,0.2487,0.3446,49.67
Vasant Kunj,0,0.22,0.3,0.65,4046.86,0.1887,99,0.341,0.2614,44.68
Mayur Vihar,0,0.35,0.55,0.7,3360.54,0.1378,8,0.5814,0.3165,47.99
Vasant Kunj,0,0.22,0.3,0.65,3031.03,0.1134,19,0.1609,0.209,41.54
Rohini,0,0.35,0.5,0.72,5179.83,0.2726,23,0.0546,0.2991,46.94
Dwarka,1,0.38,0.6,0.7,5944.51,0.3292,48,0.1398,0.2546,44.27
Karol Bagh,0,0.33,0.42,0.72,2286.42,0.0583,73,0.2074,0.2567,44.4
Rohini,1,0.35,0.5,0.72,2113.62,0.0455,20,0.5744,0.1952,40.71
Connaught Place,0,0.28,0.3,0.7,6485.05,0.3693,12,0.0571,0.337,49.22
Gurugram Sector 29,1,0.28,0.5,0.68,2023.2,0.0388,9,0.4404,0.1293,36.76
Mayur Vihar,0,0.35,0.55,0.7,5290.9,0.2808,84,0.1794,0.3767,51.6
Vasant Kunj,0,0.22,0.3,0.65,9031.33,0.5579,4,0.0,0.4236,54.41
Vasant Kunj,0,0.22,0.3,0.65,9041.83,0.5587,66,0.171,0.3866,52.2
Lajpat Nagar,1,0.32,0.45,0.68,5819.31,0.3199,61,0.8507,0.3031,47.19
Mayur Vihar,0,0.35,0.55,0.7,5735.35,0.3137,11,0.1613,0.3658,50.95
Karol Bagh,1,0.33,0.42,0.72,12406.23,0.8079,58,0.0292,0.4099,53.6
Gurugram Sector 29,0,0.28,0.5,0.68,1500.0,0.0,30,0.2346,0.1982,40.89
Mayur Vihar,0,0.35,0.55,0.7,3190.18,0.1252,54,0.1805,0.2891,46.34
Karol Bagh,0,0.33,0.42,0.72,6150.24,0.3445,15,0.1211,0.3558,50.35
Janakpuri,1,0.3,0.4,0.68,3399.41,0.1407,70,0.1104,0.153,38.18
Connaught Place,0,0.28,0.3,0.7,7479.26,0.4429,83,0.2933,0.366,50.96
Janakpuri,0,0.3,0.4,0.68,3945.47,0.1811,1,0.0,0.2421,43.53
Rohini,0,0.35,0.5,0.72,4297.86,0.2072,56,0.0756,0.2872,46.23
Lajpat Nagar,0,0.32,0.45,0.68,3507.51,0.1487,68,0.0922,0.2445,43.67
Lajpat Nagar,0,0.32,0.45,0.68,3098.72,0.1184,1,0.0,0.2194,42.17
Gurugram Sector 29,1,0.28,0.5,0.68,3060.84,0.1156,76,0.3182,0.1639,38.83
Shahdara,0,0.4,0.65,0.72,4608.16,0.2302,57,0.4103,0.3858,52.15
Shahdara,0,0.4,0.65,0.72,2731.8,0.0912,32,0.0802,0.2797,45.78
Gurugram Sector 29,1,0.28,0.5,0.68,6480.82,0.3689,51,0.2653,0.2898,46.39
Shahdara,0,0.4,0.65,0.72,5578.15,0.3021,71,0.2036,0.3935,52.61
Noida Sector 18,0,0.3,0.45,0.7,6972.35,0.4054,67,0.2009,0.3796,51.78
Lajpat Nagar,1,0.32,0.45,0.68,2288.24,0.0584,81,0.4091,0.1676,39.06
Karol Bagh,1,0.33,0.42,0.72,1720.31,0.0163,4,0.0,0.1146,35.88
Janakpuri,1,0.3,0.4,0.68,4015.46,0.1863,82,0.0437,0.2118,41.71
Lajpat Nagar,0,0.32,0.45,0.68,15000.0,1.0,4,0.0,0.6651,68.91
Mayur Vihar,1,0.35,0.55,0.7,7578.76,0.4503,68,0.0433,0.2878,46.27
Gurugram Sector 29,0,0.28,0.5,0.68,3049.63,0.1148,37,0.1493,0.2367,43.2
Connaught Place,1,0.28,0.3,0.7,4975.38,0.2574,7,0.4026,0.1975,40.85
Rohini,1,0.35,0.5,0.72,5789.46,0.3177,72,0.1707,0.2714,45.29
Connaught Place,1,0.28,0.3,0.7,2030.03,0.0393,58,0.0595,0.1233,36.4
Dwarka,0,0.38,0.6,0.7,7980.95,0.4801,70,0.1524,0.4454,55.73
Lajpat Nagar,0,0.32,0.45,0.68,3700.74,0.163,40,0.3066,0.2589,44.53
Gurugram Sector 29,1,0.28,0.5,0.68,3845.5,0.1737,29,0.0647,0.2022,41.13
Shahdara,0,0.4,0.65,0.72,4072.01,0.1905,65,0.2973,0.3368,49.21
Vasant Kunj,0,0.22,0.3,0.65,7131.45,0.4171,23,0.309,0.3221,48.33
Gurugram Sector 29,1,0.28,0.5,0.68,2758.41,0.0932,85,0.1477,0.1878,40.27
Noida Sector 18,1,0.3,0.45,0.7,1713.88,0.0158,72,0.196,0.1284,36.71
Shahdara,0,0.4,0.65,0.72,4729.04,0.2392,104,0.4031,0.347,49.82
Connaught Place,0,0.28,0.3,0.7,1500.0,0.0,3,0.0,0.1632,38.79
Connaught Place,0,0.28,0.3,0.7,3461.47,0.1453,61,0.2489,0.2547,44.28
Noida Sector 18,0,0.3,0.45,0.7,7284.01,0.4284,58,0.3709,0.4054,53.32
Connaught Place,0,0.28,0.3,0.7,5375.18,0.2871,90,0.1672,0.2712,45.27
Connaught Place,1,0.28,0.3,0.7,6776.24,0.3908,45,0.0037,0.2352,43.11
Rohini,1,0.35,0.5,0.72,5487.21,0.2953,98,0.0775,0.2458,43.75
Karol Bagh,0,0.33,0.42,0.72,13428.94,0.8836,25,0.2244,0.6536,68.21
Janakpuri,0,0.3,0.4,0.68,2998.54,0.111,89,0.5139,0.2868,46.21
Gurugram Sector 29,1,0.28,0.5,0.68,4910.18,0.2526,55,0.6137,0.267,45.02
Saket,1,0.25,0.35,0.65,3232.27,0.1283,99,0.2213,0.1757,39.54
Rohini,1,0.35,0.5,0.72,6492.49,0.3698,23,0.087,0.2778,45.67
Saket,0,0.25,0.35,0.65,3901.88,0.1779,28,0.0297,0.2095,41.57
Lajpat Nagar,1,0.32,0.45,0.68,9503.57,0.5929,59,0.2911,0.3458,49.75
Mayur Vihar,0,0.35,0.55,0.7,3085.88,0.1175,58,0.14,0.2667,45.0
Rohini,0,0.35,0.5,0.72,8132.01,0.4913,16,0.1326,0.4579,56.47
Saket,1,0.25,0.35,0.65,5413.06,0.2899,68,0.1227,0.2115,41.69
Vasant Kunj,0,0.22,0.3,0.65,3959.09,0.1822,43,0.302,0.2665,44.99
Noida Sector 18,0,0.3,0.45,0.7,5277.57,0.2798,16,0.2071,0.3154,47.93
Janakpuri,0,0.3,0.4,0.68,4585.4,0.2285,54,0.0841,0.2784,45.7
Shahdara,0,0.4,0.65,0.72,4807.72,0.245,73,0.1063,0.3422,49.53
Mayur Vihar,0,0.35,0.55,0.7,3628.46,0.1577,4,0.0,0.2911,46.46
Dwarka,1,0.38,0.6,0.7,2833.32,0.0988,96,0.1955,0.2098,41.59
Noida Sector 18,0,0.3,0.45,0.7,3403.18,0.141,64,0.3362,0.2654,44.93
Karol Bagh,0,0.33,0.42,0.72,1734.42,0.0174,28,0.1569,0.1909,40.45
Shahdara,1,0.4,0.65,0.72,6130.15,0.343,79,0.0382,0.2738,45.43
Janakpuri,0,0.3,0.4,0.68,2169.86,0.0496,88,0.0599,0.1401,37.41
Lajpat Nagar,1,0.32,0.45,0.68,3608.97,0.1562,100,0.0559,0.1789,39.74
Rohini,0,0.35,0.5,0.72,5563.72,0.301,83,0.2515,0.3528,50.17
Vasant Kunj,0,0.22,0.3,0.65,6122.33,0.3424,22,0.7243,0.3758,51.55
Shahdara,0,0.4,0.65,0.72,1656.85,0.0116,18,0.249,0.2409,43.46
Dwarka,1,0.38,0.6,0.7,3843.26,0.1736,22,0.3016,0.2314,42.89
Janakpuri,0,0.3,0.4,0.68,5063.8,0.264,92,0.1574,0.2428,43.57
Shahdara,1,0.4,0.65,0.72,4129.9,0.1948,32,0.0994,0.2485,43.91
Shahdara,0,0.4,0.65,0.72,7879.64,0.4726,35,0.0523,0.4592,56.55
Gurugram Sector 29,0,0.28,0.5,0.68,2668.03,0.0865,93,0.1341,0.2379,43.28
Dwarka,0,0.38,0.6,0.7,1500.0,0.0,22,0.4581,0.2474,43.84
Noida Sector 18,0,0.3,0.45,0.7,6033.99,0.3359,43,0.2004,0.3734,51.4
Janakpuri,0,0.3,0.4,0.68,3076.22,0.1168,31,0.2223,0.2236,42.42
Vasant Kunj,0,0.22,0.3,0.65,1670.25,0.0126,32,0.2789,0.1549,38.29
Lajpat Nagar,0,0.32,0.45,0.68,3717.27,0.1642,62,0.0307,0.2555,44.33
Lajpat Nagar,1,0.32,0.45,0.68,7444.86,0.4404,78,0.0994,0.3066,47.4
Janakpuri,0,0.3,0.4,0.68,2139.6,0.0474,28,0.167,0.2027,41.16
Shahdara,0,0.4,0.65,0.72,12938.96,0.8473,4,0.0,0.6467,67.8
Gurugram Sector 29,0,0.28,0.5,0.68,2646.67,0.0849,67,0.1345,0.2263,42.58
Saket,0,0.25,0.35,0.65,4202.8,0.2002,58,0.4708,0.2783,45.7
Karol Bagh,0,0.33,0.42,0.72,2187.32,0.0509,69,0.1465,0.2231,42.39
Janakpuri,1,0.3,0.4,0.68,4108.47,0.1932,47,0.0886,0.1695,39.17
Lajpat Nagar,0,0.32,0.45,0.68,3763.58,0.1677,81,0.2726,0.264,44.84
Lajpat Nagar,1,0.32,0.45,0.68,1910.75,0.0304,65,0.22,0.1759,39.55
Vasant Kunj,0,0.22,0.3,0.65,15000.0,1.0,79,0.4733,0.6554,68.32
Lajpat Nagar,0,0.32,0.45,0.68,3141.11,0.1216,77,0.4736,0.2721,45.32
Vasant Kunj,1,0.22,0.3,0.65,3142.48,0.1217,52,0.0446,0.1609,38.65
Dwarka,0,0.38,0.6,0.7,6532.32,0.3728,34,0.2916,0.414,53.84
Lajpat Nagar,0,0.32,0.45,0.68,9967.92,0.6273,61,0.4556,0.508,59.48
Dwarka,1,0.38,0.6,0.7,7067.19,0.4124,67,0.1079,0.3315,48.89
Noida Sector 18,1,0.3,0.45,0.7,2207.05,0.0524,60,0.4621,0.1718,39.31
Janakpuri,1,0.3,0.4,0.68,4478.1,0.2206,55,0.1299,0.2046,41.28
Mayur Vihar,0,0.35,0.55,0.7,1570.76,0.0052,36,0.0576,0.1563,38.38
Noida Sector 18,0,0.3,0.45,0.7,6316.07,0.3567,14,0.1165,0.35,50.0
Saket,1,0.25,0.35,0.65,1776.51,0.0205,45,0.1198,0.1282,36.69
Noida Sector 18,1,0.3,0.45,0.7,2692.97,0.0884,92,0.1766,0.1618,38.71
Vasant Kunj,0,0.22,0.3,0.65,4017.44,0.1865,75,0.2846,0.2176,42.05
Saket,0,0.25,0.35,0.65,5026.62,0.2612,79,0.0451,0.2605,44.63
Lajpat Nagar,0,0.32,0.45,0.68,3531.69,0.1505,77,0.2766,0.2561,44.37
Saket,0,0.25,0.35,0.65,8600.21,0.5259,96,0.096,0.4025,53.15
Karol Bagh,1,0.33,0.42,0.72,5776.88,0.3168,24,0.0416,0.2379,43.27
Rohini,0,0.35,0.5,0.72,5554.49,0.3003,75,0.1967,0.3841,52.05
Vasant Kunj,0,0.22,0.3,0.65,2176.12,0.0501,8,0.3078,0.1834,40.0
Noida Sector 18,0,0.3,0.45,0.7,9411.47,0.586,26,0.0492,0.4256,54.54
Noida Sector 18,0,0.3,0.45,0.7,2693.15,0.0884,4,0.0,0.2081,41.49
Dwarka,0,0.38,0.6,0.7,9592.83,0.5995,45,0.0699,0.5069,59.42
Vasant Kunj,0,0.22,0.3,0.65,11060.08,0.7082,15,0.2319,0.5227,60.36
Connaught Place,0,0.28,0.3,0.7,5199.55,0.274,41,0.2724,0.2971,46.83
Dwarka,1,0.38,0.6,0.7,6741.29,0.3882,15,0.1617,0.3057,47.34
Janakpuri,0,0.3,0.4,0.68,1500.0,0.0,4,0.0,0.1913,40.48
Janakpuri,0,0.3,0.4,0.68,3650.06,0.1593,50,0.0225,0.2145,41.87
Janakpuri,0,0.3,0.4,0.68,6981.95,0.4061,43,0.0243,0.3754,51.53
Lajpat Nagar,0,0.32,0.45,0.68,6388.5,0.3621,44,0.0393,0.3518,50.11
Rohini,0,0.35,0.5,0.72,2186.68,0.0509,36,0.1175,0.2082,41.49
Lajpat Nagar,0,0.32,0.45,0.68,3474.27,0.1462,43,0.4224,0.2679,45.07
Shahdara,0,0.4,0.65,0.72,1500.0,0.0,1,0.0,0.2407,43.44
Saket,0,0.25,0.35,0.65,4946.8,0.2553,50,0.2878,0.3007,47.04
Shahdara,1,0.4,0.65,0.72,1569.22,0.0051,89,0.1486,0.1822,39.93
Noida Sector 18,0,0.3,0.45,0.7,7081.49,0.4134,15,0.016,0.3886,52.32
Gurugram Sector 29,0,0.28,0.5,0.68,7268.92,0.4273,15,0.1055,0.3961,52.76
Shahdara,0,0.4,0.65,0.72,3174.22,0.124,82,0.2046,0.2748,45.49
Noida Sector 18,0,0.3,0.45,0.7,5222.01,0.2757,53,0.3204,0.301,47.06
Noida Sector 18,0,0.3,0.45,0.7,3609.96,0.1563,27,0.1638,0.2878,46.27
Noida Sector 18,0,0.3,0.45,0.7,4541.23,0.2253,82,0.0976,0.2891,46.34
Noida Sector 18,0,0.3,0.45,0.7,2267.36,0.0568,34,0.0313,0.1956,40.74
Dwarka,0,0.38,0.6,0.7,5493.09,0.2958,63,0.2564,0.4106,53.64
Rohini,1,0.35,0.5,0.72,1771.19,0.0201,58,0.0915,0.1342,37.05
Mayur Vihar,1,0.35,0.55,0.7,1611.68,0.0083,18,0.0897,0.1126,35.76
Saket,1,0.25,0.35,0.65,3785.89,0.1693,79,0.2254,0.1545,38.27
Shahdara,0,0.4,0.65,0.72,3620.54,0.1571,65,0.2883,0.3102,47.61
Rohini,0,0.35,0.5,0.72,4610.77,0.2304,22,0.124,0.311,47.66
Janakpuri,0,0.3,0.4,0.68,2908.07,0.1043,79,0.0488,0.2389,43.33
Shahdara,0,0.4,0.65,0.72,10330.4,0.6541,65,0.0908,0.5665,62.99
Noida Sector 18,0,0.3,0.45,0.7,4360.33,0.2119,89,0.2033,0.2375,43.25
Shahdara,0,0.4,0.65,0.72,4520.78,0.2238,86,0.1221,0.3936,52.62
Saket,0,0.25,0.35,0.65,4440.92,0.2178,34,0.1111,0.2468,43.81
Vasant Kunj,0,0.22,0.3,0.65,6643.9,0.381,98,0.0436,0.3409,49.46
Shahdara,0,0.4,0.65,0.72,5366.92,0.2864,4,0.0,0.3676,51.06
Mayur Vihar,1,0.35,0.55,0.7,5019.12,0.2607,35,0.1556,0.2501,44.01
Gurugram Sector 29,0,0.28,0.5,0.68,5813.81,0.3195,64,0.3515,0.3552,50.31
Shahdara,1,0.4,0.65,0.72,1615.97,0.0086,56,0.0248,0.1485,37.91
Karol Bagh,0,0.33,0.42,0.72,1646.78,0.0109,24,0.1294,0.1576,38.46
Lajpat Nagar,0,0.32,0.45,0.68,3873.72,0.1758,21,0.2219,0.2723,45.34
Vasant Kunj,0,0.22,0.3,0.65,3645.19,0.1589,82,0.1782,0.191,40.46
Karol Bagh,0,0.33,0.42,0.72,5377.1,0.2872,92,0.2125,0.3628,50.77
Shahdara,0,0.4,0.65,0.72,4064.35,0.19,71,0.0911,0.3195,48.17
Gurugram Sector 29,0,0.28,0.5,0.68,5382.63,0.2876,56,0.0987,0.3605,50.63
Shahdara,1,0.4,0.65,0.72,2158.57,0.0488,81,0.3543,0.1985,40.91
Dwarka,0,0.38,0.6,0.7,4002.31,0.1854,25,0.226,0.3045,47.27
Mayur Vihar,0,0.35,0.55,0.7,2057.96,0.0413,101,0.2972,0.2497,43.98
Rohini,1,0.35,0.5,0.72,4882.58,0.2506,13,0.3744,0.2539,44.23
Dwarka,0,0.38,0.6,0.7,1573.18,0.0054,61,0.1332,0.2365,43.19
Shahdara,0,0.4,0.65,0.72,4789.37,0.2437,36,0.2246,0.3865,52.19
Karol Bagh,0,0.33,0.42,0.72,1930.43,0.0319,95,0.0864,0.2116,41.69
Saket,0,0.25,0.35,0.65,3321.71,0.1349,26,0.3489,0.2646,44.88
Janakpuri,0,0.3,0.4,0.68,6294.7,0.3552,67,0.4195,0.3899,52.39
Connaught Place,0,0.28,0.3,0.7,4508.37,0.2228,17,0.2278,0.2592,44.55
Lajpat Nagar,1,0.32,0.45,0.68,1767.23,0.0198,19,0.0573,0.1529,38.18
Connaught Place,0,0.28,0.3,0.7,2874.99,0.1019,44,0.2705,0.2279,42.68
Connaught Place,0,0.28,0.3,0.7,1899.43,0.0296,84,0.0625,0.1447,37.68
Karol Bagh,0,0.33,0.42,0.72,1724.38,0.0166,29,0.2697,0.1905,40.43
Karol Bagh,1,0.33,0.42,0.72,4267.71,0.205,73,0.1311,0.2091,41.55
Mayur Vihar,1,0.35,0.55,0.7,5324.9,0.2833,60,0.2068,0.2791,45.74
Connaught Place,1,0.28,0.3,0.7,5015.57,0.2604,102,0.0409,0.2045,41.27
Connaught Place,1,0.28,0.3,0.7,5438.8,0.2918,32,0.0283,0.2134,41.81
Dwarka,1,0.38,0.6,0.7,3999.98,0.1852,26,0.1164,0.2265,42.59
Shahdara,0,0.4,0.65,0.72,3509.77,0.1489,94,0.1723,0.2981,46.89
Saket,1,0.25,0.35,0.65,2353.04,0.0632,35,0.1002,0.115,35.9
Janakpuri,0,0.3,0.4,0.68,3229.1,0.1281,23,0.1942,0.2534,44.2
Rohini,0,0.35,0.5,0.72,2078.34,0.0428,86,0.2597,0.208,41.48
Gurugram Sector 29,1,0.28,0.5,0.68,2637.05,0.0842,85,0.0317,0.1587,38.52
Dwarka,0,0.38,0.6,0.7,4206.82,0.2005,7,0.0066,0.2937,46.62
Connaught Place,0,0.28,0.3,0.7,3793.7,0.1699,90,0.2325,0.2595,44.57
Gurugram Sector 29,0,0.28,0.5,0.68,15000.0,1.0,66,0.0914,0.6673,69.04
Karol Bagh,0,0.33,0.42,0.72,2053.09,0.041,30,0.014,0.1668,39.01
Connaught Place,1,0.28,0.3,0.7,3779.89,0.1689,56,0.0275,0.1822,39.93
Janakpuri,0,0.3,0.4,0.68,1974.63,0.0352,25,0.2147,0.1765,39.59
Mayur Vihar,1,0.35,0.55,0.7,3314.65,0.1344,18,0.1476,0.2044,41.27
Gurugram Sector 29,0,0.28,0.5,0.68,3382.78,0.1395,14,0.2112,0.2813,45.88
Karol Bagh,1,0.33,0.42,0.72,6139.14,0.3436,18,0.1747,0.2548,44.29
Saket,0,0.25,0.35,0.65,3213.66,0.1269,61,0.1245,0.2089,41.53
Saket,1,0.25,0.35,0.65,3656.79,0.1598,85,0.3224,0.1789,39.73
Gurugram Sector 29,0,0.28,0.5,0.68,3244.9,0.1293,51,0.3703,0.2693,45.16
Lajpat Nagar,0,0.32,0.45,0.68,1997.15,0.0368,2,0.0,0.1825,39.95
Rohini,0,0.35,0.5,0.72,2904.3,0.104,45,0.2199,0.2734,45.4
Noida Sector 18,0,0.3,0.45,0.7,3324.36,0.1351,78,0.1373,0.2314,42.88
Gurugram Sector 29,0,0.28,0.5,0.68,4175.18,0.1982,87,0.2474,0.3143,47.86
Lajpat Nagar,1,0.32,0.45,0.68,5321.3,0.2831,77,0.1342,0.2644,44.86
Shahdara,1,0.4,0.65,0.72,3578.51,0.154,39,0.3776,0.25,44.0
Saket,1,0.25,0.35,0.65,3547.19,0.1516,68,0.438,0.1791,39.75
Shahdara,0,0.4,0.65,0.72,1702.06,0.015,8,0.3156,0.2517,44.1
Vasant Kunj,0,0.22,0.3,0.65,5270.43,0.2793,43,0.0777,0.2664,44.98
Connaught Place,1,0.28,0.3,0.7,2841.4,0.0994,56,0.0214,0.1675,39.05
Vasant Kunj,1,0.22,0.3,0.65,5846.28,0.3219,3,0.0,0.2103,41.62
Janakpuri,0,0.3,0.4,0.68,7771.51,0.4646,2,0.0,0.4139,53.84
Mayur Vihar,1,0.35,0.55,0.7,3663.02,0.1602,84,0.274,0.2229,42.38
Janakpuri,0,0.3,0.4,0.68,2412.32,0.0676,23,0.2427,0.213,41.78
Dwarka,1,0.38,0.6,0.7,3990.42,0.1845,14,0.1354,0.2248,42.49
Mayur Vihar,1,0.35,0.55,0.7,4790.31,0.2437,62,0.137,0.2384,43.3
Gurugram Sector 29,1,0.28,0.5,0.68,3436.61,0.1435,30,0.3384,0.2163,41.98
Lajpat Nagar,0,0.32,0.45,0.68,3035.04,0.1137,102,0.1442,0.2222,42.33
Gurugram Sector 29,0,0.28,0.5,0.68,5333.52,0.284,99,0.1155,0.3377,49.26
Mayur Vihar,0,0.35,0.55,0.7,5160.5,0.2711,86,0.1275,0.3646,50.88
Saket,1,0.25,0.35,0.65,3384.14,0.1396,32,0.0181,0.1461,37.76
Vasant Kunj,0,0.22,0.3,0.65,1759.82,0.0192,92,0.0655,0.1618,38.71
Noida Sector 18,1,0.3,0.45,0.7,5055.28,0.2634,27,0.1519,0.2478,43.87
Saket,1,0.25,0.35,0.65,2741.71,0.092,25,0.1227,0.158,38.48
Connaught Place,0,0.28,0.3,0.7,4479.07,0.2207,102,0.1218,0.2458,43.75
Gurugram Sector 29,0,0.28,0.5,0.68,4339.78,0.2104,71,0.3563,0.3034,47.21
Rohini,1,0.35,0.5,0.72,1564.82,0.0048,9,0.3431,0.1615,38.69
Mayur Vihar,0,0.35,0.55,0.7,4190.36,0.1993,93,0.449,0.3739,51.43
Shahdara,0,0.4,0.65,0.72,5204.43,0.2744,17,0.1835,0.3689,51.13
Janakpuri,0,0.3,0.4,0.68,5533.5,0.2988,71,0.2223,0.322,48.32
Lajpat Nagar,0,0.32,0.45,0.68,4267.07,0.205,46,0.1897,0.264,44.84
Gurugram Sector 29,1,0.28,0.5,0.68,1500.0,0.0,2,0.0,0.1092,35.55
Lajpat Nagar,0,0.32,0.45,0.68,7620.07,0.4533,82,0.3363,0.4121,53.73
Janakpuri,0,0.3,0.4,0.68,4941.93,0.255,72,0.1406,0.3028,47.17
Karol Bagh,0,0.33,0.42,0.72,2204.69,0.0522,92,0.0799,0.1706,39.24
Vasant Kunj,0,0.22,0.3,0.65,2713.84,0.0899,64,0.1567,0.1688,39.13
Vasant Kunj,0,0.22,0.3,0.65,4517.04,0.2235,79,0.3203,0.228,42.68
Vasant Kunj,1,0.22,0.3,0.65,5652.72,0.3076,95,0.2068,0.243,43.58
Shahdara,0,0.4,0.65,0.72,3152.71,0.1224,102,0.1548,0.2923,46.54
Rohini,0,0.35,0.5,0.72,6080.02,0.3393,59,0.1084,0.3677,51.06
Karol Bagh,1,0.33,0.42,0.72,1641.91,0.0105,2,0.0,0.1113,35.68
Mayur Vihar,0,0.35,0.55,0.7,2389.34,0.0659,36,0.3336,0.277,45.62
Vasant Kunj,1,0.22,0.3,0.65,1500.0,0.0,65,0.142,0.1243,36.46
Noida Sector 18,0,0.3,0.45,0.7,2569.07,0.0792,12,0.0843,0.2119,41.71
Lajpat Nagar,0,0.32,0.45,0.68,8553.01,0.5224,13,0.2928,0.4464,55.79
Shahdara,0,0.4,0.65,0.72,11258.75,0.7229,42,0.1023,0.5962,64.77
Janakpuri,1,0.3,0.4,0.68,4524.65,0.224,95,0.4535,0.2446,43.67
Karol Bagh,1,0.33,0.42,0.72,2924.23,0.1055,34,0.2005,0.1914,40.48
Saket,0,0.25,0.35,0.65,3601.77,0.1557,98,0.0457,0.2307,42.84
Dwarka,0,0.38,0.6,0.7,5098.34,0.2665,84,0.1988,0.3734,51.41
Connaught Place,0,0.28,0.3,0.7,1841.82,0.0253,32,0.0484,0.1397,37.38
Karol Bagh,0,0.33,0.42,0.72,3022.23,0.1128,25,0.0985,0.2495,43.97
Mayur Vihar,1,0.35,0.55,0.7,8245.7,0.4997,87,0.0634,0.326,48.56
Connaught Place,1,0.28,0.3,0.7,2385.45,0.0656,79,0.1588,0.1009,35.05
Janakpuri,1,0.3,0.4,0.68,2766.91,0.0938,66,0.2586,0.1631,38.79
Janakpuri,0,0.3,0.4,0.68,4050.5,0.1889,102,0.515,0.2889,46.33
Janakpuri,1,0.3,0.4,0.68,4635.83,0.2323,11,0.0681,0.2113,41.68
Vasant Kunj,0,0.22,0.3,0.65,2943.92,0.107,41,0.4117,0.2329,42.97
Lajpat Nagar,0,0.32,0.45,0.68,4181.74,0.1986,63,0.1016,0.2788,45.73
Dwarka,1,0.38,0.6,0.7,5453.26,0.2928,8,0.0657,0.2956,46.74
Rohini,0,0.35,0.5,0.72,10729.22,0.6836,102,0.4229,0.5546,62.28
Rohini,1,0.35,0.5,0.72,3777.73,0.1687,60,0.3368,0.1945,40.67
Karol Bagh,1,0.33,0.42,0.72,3941.64,0.1809,33,0.2622,0.2154,41.92
Vasant Kunj,1,0.22,0.3,0.65,8636.27,0.5286,25,0.2122,0.2971,46.83
